Code	A pour tête d'arborescence	Est tête d'arborescence	Terme Générique	Terme Spécifique	Identifiant	Source	Cette ressource dans la classification CDU	Verbalisation en français	Verbalisation en anglais	Description	Contexte d'application		Cette ressource dans la classification CDU	Date de création	Date de modification	Créateur	Editeur	Cette ressource dans la classification WOS	Cette ressource dans la classification LC	Cette ressource dans la classification MESH
Catégories INIST	STM et SHS				Catégories INIST	<a href="http://refcode.inist.fr">http://refcode.inist.fr</a>								8/4/2016		Istex	Lodex team
STM		Catégories INIST		001 et 002	STM	<a href="http://refcode.inist.fr">http://refcode.inist.fr</a>	<a href="http://udcdata.info/037275">APPLIED SCIENCES. MEDICINE. TECHNOLOGY</a>	SCIENCES TECHNIQUES ET MEDICALES	MEDICAL AND TECHNICAL SCIENCES			http://udcdata.info/037275	<a href="http://udcdata.info/037275">APPLIED SCIENCES. MEDICINE. TECHNOLOGY</a>	8/4/2016		Istex	Lodex team
001			STM	001A et 001B et 001C et 001D et 001E	001	<a href="http://refcode.inist.fr">http://refcode.inist.fr</a>	<a href="http://udcdata.info/025403">MATHEMATICS. NATURAL SCIENCES</a>	SCIENCES EXACTES ET TECHNOLOGIE	EXACT SCIENCES AND TECHNOLOGY			http://udcdata.info/025403	<a href="http://udcdata.info/025403">MATHEMATICS. NATURAL SCIENCES</a>	8/4/2016		Istex	Lodex team
001A			001	001A01 et 001A02	001A	<a href="http://refcode.inist.fr">http://refcode.inist.fr</a>		SCIENCES ET TECHNIQUES COMMUNES	SCIENCES AND TECHNIQUES OF GENERAL USE					8/4/2016		Istex	Lodex team
001A01			001A		001A01	<a href="http://refcode.inist.fr">http://refcode.inist.fr</a>	<a href="http://udcdata.info/013359">Prolegomena. Fundamentals of knowledge and culture. Propaedeutics</a>	SCIENCES DE L'INFORMATION. DOCUMENTATION	INFORMATION SCIENCE. DOCUMENTATION	La science de l'information (ou les sciences de l'information) est une science interdisciplinaire, branche des sciences de l'information et de la communication ayant pour objet scientifique l'information. Ainsi, la science de l'information s'intéresse aux dispositifs de gestion de l'information (base de données, moteur de recherche, site web, etc.) et à la manière dont ils sont conçus, gérés et utilisés. Source: <a href="https://fr.wikipedia.org/wiki/Science_de_l'information">https://fr.wikipedia.org/wiki/Science_de_l'information</a>	Sciences de l'information et des bibliothèques. Etude d'ensemble. Gestion des services d'information. Organismes documentaires. Sources d'information spécialisée (support papier ou électronique). Traitement et recherche de l'information. Systèmes de recherche d'informations. Système de gestion documentaire et d'information. Technologie de la communication et de l'information. Edition, diffusion et reproduction de l'information. Communication.	http://udcdata.info/013359	<a href="http://udcdata.info/013359">Prolegomena. Fundamentals of knowledge and culture. Propaedeutics</a>	8/4/2016		Istex	Lodex team
001A02			001A		001A02	<a href="http://refcode.inist.fr">http://refcode.inist.fr</a>	<a href="http://udcdata.info/025453">Mathematics</a>	MATHEMATIQUES	MATHEMATICS	Les mathématiques sont un ensemble de connaissances abstraites résultant de raisonnements logiques appliqués à des objets divers tels que les nombres, les figures, les structures et les transformations. Source: <a  href="https://fr.wikipedia.org/wiki/Mathématiques">https://fr.wikipedia.org/wiki/Mathématiques</a>	Logique mathématique. Combinatoire. Algèbre. Géométrie. Théorie des groupes. Analyse mathématique. Probabilités. Statistiques. Analyse numérique. Calcul scientifique	http://udcdata.info/025453	<a href="http://udcdata.info/025453">Mathematics</a>	8/4/2016		Istex	Lodex team
001B			001	001B00 et 001B10 et 001B20 et 001B30 et 001B40 et 001B50 et 001B60 et 001B70 et 001B80	001B	<a href="http://refcode.inist.fr">http://refcode.inist.fr</a>	<a href="http://udcdata.info/027739">Physics</a>	PHYSIQUE	PHYSICS	La physique est la science qui tente de comprendre, de modéliser, voire d'expliquer les phénomènes naturels de l'univers. Elle correspond à l'étude du monde qui nous entoure sous toutes ses formes, des lois de sa variation et de son évolution. Source: <a  href="https://fr.wikipedia.org/wiki/Physique">https://fr.wikipedia.org/wiki/Physique</a>		http://udcdata.info/027739	<a href="http://udcdata.info/027739">Physics</a>	8/4/2016		Istex	Lodex team
001B00			001B		001B00	<a href="http://refcode.inist.fr">http://refcode.inist.fr</a>	<a href="http://udcdata.info/027739">Physics</a>	GENERALITES	GENERAL ASPECTS		Communication, éducation, histoire et philosophie. Méthodes mathématiques en physique. Physiques classique et quantique: mécanique et champs. Relativité générale et gravitation. Physique statistique, thermodynamique, et systèmes dynamiques non linéaires. Métrologie, mesures et techniques de laboratoire. Instruments, appareillage, composants et techniques communs à plusieurs branches de la physique et de l'astronomie. 	http://udcdata.info/027739	<a href="http://udcdata.info/027739">Physics</a>	8/4/2016		Istex	Lodex team
001B10			001B		001B10	<a href="http://refcode.inist.fr">http://refcode.inist.fr</a>	<a href="http://udcdata.info/029368">Physical nature of matter</a>	PHYSIQUE DES PARTICULES ELEMENTAIRES ET CHAMPS	THE PHYSICS OF ELEMENTARY PARTICLES AND FIELDS	La physique des particules ou la physique subatomique est la branche de la physique qui étudie les constituants élémentaires de la matière et les rayonnements, ainsi que leurs interactions. On l'appelle aussi parfois physique des hautes énergies. Source: <a  href="https://fr.wikipedia.org/wiki/Physique_des_particules">https://fr.wikipedia.org/wiki/Physique_des_particules</a>	Théorie quantique des champs. Physique des particules. Electromagnétisme. Particules élémentaires. Physique de l'état condensé; Science des matériaux;	http://udcdata.info/029368	<a href="http://udcdata.info/029368">Physical nature of matter</a>	8/4/2016		Istex	Lodex team
001B20			001B		001B20	<a href="http://refcode.inist.fr">http://refcode.inist.fr</a>	<a href="http://udcdata.info/029369">Nuclear physics. Atomic physics. Molecular physics</a>	PHYSIQUE NUCLEAIRE	NUCLEAR PHYSICS	La physique nucléaire étudie le noyau atomique  (élaboration d'un modèle théorique) et la façon dont il interagit lorsqu'une particule arrive « à proximité ». Source: <a  href="https://fr.wikipedia.org/wiki/Physique_nucléaire">https://fr.wikipedia.org/wiki/Physique_nucléaire</a>	structure nucléaire. Réaction nucléaire. Radioactivité. Propriétés des noyaux, niveaux d'énergie nucléaire.	http://udcdata.info/029369	<a href="http://udcdata.info/029369">Nuclear physics. Atomic physics. Molecular physics</a>	8/4/2016		Istex	Lodex team
